id,product_category
1,Digital Video Download
2,PC
3,Home Improvement
4,Health Personal Care
5,Pet Products
6,Mobile Electronics
7,Wireless
8,Shoes
9,Digital Music Purchase
10,Outdoors
11,Video
12,Musical Instruments
13,Beauty
14,Home Entertainment
15,Lawn and Garden
16,Digital Video Games
17,Music
18,Jewelry
19,Baby
20,Gift Card
21,Kitchen
22,Mobile Apps
23,Furniture
24,Tools
25,Apparel
26,Electronics
27,Digital Ebook Purchase
28,Personal Care Appliances
29,Grocery
30,Digital Software
31,Luggage
32,Toys
33,Video DVD
34,Automotive
35,Watches
36,Software
37,Books
38,Sports
39,Home
40,Camera
41,Video Games
42,Major Appliances
43,Office Products
