asin,product_title,rating,review_title,variation,review_text,review-links,review-date,verified,category
B07C3RFPHY,"10 Pcs Unicorn Flamingo Gel Pens Set,Fine Point (0.5mm), 10 Ink Color,Best Unicorn Gifts for Girls",1,"All Black Ink
",Color: 5 Unicorn+5 Flamingo Ink:clorful,"Cute pens ~~ be careful because the picture shows each pen with a different color.  I guess I didn't read close enough ~~ mine are all black !!  Who wants to buy pens for their granddaughter that are all black ??  Picture online is not what you get.  My fault but a big disappointment !!  Don't buy that one !! There are others that do have different colors.  Be sure you read, and don't just look at the picture like I did.  Having no trouble returning it though.  That's what I like about ordering from Amazon.
",https://www.amazon.com/gp/customer-reviews/RUJ1JITG90EBN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C3RFPHY,"December 5, 2018",Verified Purchase,"Office Products, Office & School Supplies, Writing & Correction Supplies, Pens & Refills, Rollerball Pens, Gel Ink Rollerball Pens, "
B07C3RFPHY,"10 Pcs Unicorn Flamingo Gel Pens Set,Fine Point (0.5mm), 10 Ink Color,Best Unicorn Gifts for Girls",2,"Not a great purchase
",Color: 5 Unicorn+5 Flamingo Ink:black,"Hard to write with, the ink isn’t steady or consistent. They are cute. The kids were very excited about them. The carry case is nice. If I had to do it again, I’d pass on this purchase.
",https://www.amazon.com/gp/customer-reviews/R52IXNAN06OS5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C3RFPHY,"July 26, 2018",Verified Purchase,"Office Products, Office & School Supplies, Writing & Correction Supplies, Pens & Refills, Rollerball Pens, Gel Ink Rollerball Pens, "
B07C3RFPHY,"10 Pcs Unicorn Flamingo Gel Pens Set,Fine Point (0.5mm), 10 Ink Color,Best Unicorn Gifts for Girls",5,"Pretty
",Color: 5 Unicorn+5 Flamingo Ink:clorful,"Pens were beautiful, but more of a fine tip than I realized. If you want pens to color with you will want to find something with not so fine of a tip. These are great for writing though! Good quality.
",https://www.amazon.com/gp/customer-reviews/R2N1GLOCOKV6HS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C3RFPHY,"September 24, 2018",Verified Purchase,"Office Products, Office & School Supplies, Writing & Correction Supplies, Pens & Refills, Rollerball Pens, Gel Ink Rollerball Pens, "
B07C3RFPHY,"10 Pcs Unicorn Flamingo Gel Pens Set,Fine Point (0.5mm), 10 Ink Color,Best Unicorn Gifts for Girls",4,"cute
",Color: 5 Unicorn+5 Flamingo Ink:clorful,"I am not a fan of thin tip pens, BUT the cute print on the pens make up for it, the colors are great and bright.
",https://www.amazon.com/gp/customer-reviews/RMF96EYQG5UBD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C3RFPHY,"October 29, 2018",Verified Purchase,"Office Products, Office & School Supplies, Writing & Correction Supplies, Pens & Refills, Rollerball Pens, Gel Ink Rollerball Pens, "
B07C3RFPHY,"10 Pcs Unicorn Flamingo Gel Pens Set,Fine Point (0.5mm), 10 Ink Color,Best Unicorn Gifts for Girls",4,"Good price good quality
",Color: 5 Unicorn+5 Flamingo Ink:clorful,"My daughters love those so much lots of color, I bought those for goodies bag too and everyone like it
",https://www.amazon.com/gp/customer-reviews/REKVUXHDRCUS1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C3RFPHY,"November 4, 2018",Verified Purchase,"Office Products, Office & School Supplies, Writing & Correction Supplies, Pens & Refills, Rollerball Pens, Gel Ink Rollerball Pens, "
B07C3RFPHY,"10 Pcs Unicorn Flamingo Gel Pens Set,Fine Point (0.5mm), 10 Ink Color,Best Unicorn Gifts for Girls",5,"Cute Colors
",Color: 5 Unicorn+5 Flamingo Ink:clorful,"Good quality pens, the colors are great and the patterns are absolutely adorable. I would definitely recommend these
",https://www.amazon.com/gp/customer-reviews/R3QSQTU8PZE5Y7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C3RFPHY,"May 29, 2018",Verified Purchase,"Office Products, Office & School Supplies, Writing & Correction Supplies, Pens & Refills, Rollerball Pens, Gel Ink Rollerball Pens, "
B07C3RFPHY,"10 Pcs Unicorn Flamingo Gel Pens Set,Fine Point (0.5mm), 10 Ink Color,Best Unicorn Gifts for Girls",5,"Very cute
",Color: 5 Unicorn+5 Flamingo Ink:clorful,"Super cute and good quality
",https://www.amazon.com/gp/customer-reviews/R23HCDABRK2PNK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C3RFPHY,"February 25, 2019",Verified Purchase,"Office Products, Office & School Supplies, Writing & Correction Supplies, Pens & Refills, Rollerball Pens, Gel Ink Rollerball Pens, "
B07C3RFPHY,"10 Pcs Unicorn Flamingo Gel Pens Set,Fine Point (0.5mm), 10 Ink Color,Best Unicorn Gifts for Girls",5,"Pens
",Color: 5 Unicorn+5 Flamingo Ink:clorful,"Cute pens!! Write well.
",https://www.amazon.com/gp/customer-reviews/R21LY7KW1WCJR3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C3RFPHY,"October 22, 2018",Verified Purchase,"Office Products, Office & School Supplies, Writing & Correction Supplies, Pens & Refills, Rollerball Pens, Gel Ink Rollerball Pens, "
B07C3RFPHY,"10 Pcs Unicorn Flamingo Gel Pens Set,Fine Point (0.5mm), 10 Ink Color,Best Unicorn Gifts for Girls",5,"Good variety of colors
",Color: 5 Unicorn+5 Flamingo Ink:clorful,"The pens were cute and my granddaughter really liked them. I think she will enjoy them when writing in her journal.
",https://www.amazon.com/gp/customer-reviews/R3UPVB39BU9KTV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C3RFPHY,"November 1, 2018",Verified Purchase,"Office Products, Office & School Supplies, Writing & Correction Supplies, Pens & Refills, Rollerball Pens, Gel Ink Rollerball Pens, "
B07C3RFPHY,"10 Pcs Unicorn Flamingo Gel Pens Set,Fine Point (0.5mm), 10 Ink Color,Best Unicorn Gifts for Girls",5,"Good value for the money, super cute!
",Color: 5 Unicorn+5 Flamingo Ink:clorful,"I bought these for my daughter to use in her journaling Bible - she loves them. her only complaint is there's no yellow.
",https://www.amazon.com/gp/customer-reviews/R2G5GM4V3HHEVK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C3RFPHY,"January 7, 2019",Verified Purchase,"Office Products, Office & School Supplies, Writing & Correction Supplies, Pens & Refills, Rollerball Pens, Gel Ink Rollerball Pens, "
